,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),Compound Return 2017 (%),Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Inflation,0.0225,0.0226,0.0125,0.0225,1,U.S. Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Cash,0.02,0.02,0.005,0.02,0.08,1,U.S. Intermediate Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Intermediate Treasuries,0.03,0.0307,0.0375,0.0225,-0.17,0.23,1,U.S. Long Treasuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Treasuries,0.025,0.0328,0.1275,0.02,-0.23,0.04,0.78,1,TIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,TIPS,0.0275,0.029,0.055,0.035,0.07,0.07,0.65,0.51,1,U.S. Aggregate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds,0.0325,0.0332,0.0375,0.03,-0.12,0.1,0.81,0.78,0.78,1,U.S. Short Duration Government/Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Short Duration Government/Credit,0.035,0.0352,0.02,0.0325,-0.09,0.41,0.76,0.41,0.67,0.74,1,U.S. Long Duration Government/Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Duration Government/Credit,0.0325,0.0368,0.095,0.0325,-0.17,0,0.68,0.89,0.64,0.91,0.5,1,U.S. Inv Grade Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds,0.035,0.0367,0.06,0.0325,-0.12,-0.04,0.41,0.46,0.64,0.82,0.6,0.79,1,U.S. Long Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Long Corporate Bonds,0.0375,0.0423,0.1,0.0375,-0.16,-0.06,0.39,0.58,0.57,0.81,0.47,0.88,0.96,1,U.S. High Yield Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0525,0.0559,0.085,0.0575,0.12,-0.1,-0.26,-0.27,0.31,0.19,0.15,0.12,0.57,0.47,1,U.S. Leveraged Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Leveraged Loans,0.05,0.0528,0.0775,0.05,0.32,-0.14,-0.5,-0.46,0.06,-0.07,-0.1,-0.1,0.33,0.24,0.8,1,World Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds hedged,0.025,0.0254,0.03,0.0175,-0.26,0.1,0.83,0.85,0.52,0.81,0.58,0.8,0.52,0.56,-0.19,-0.42,1,World Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World Government Bonds,0.025,0.0271,0.065,0.02,-0.01,0.13,0.66,0.48,0.66,0.71,0.68,0.59,0.58,0.54,0.17,-0.14,0.58,1,World ex-U.S. Government Bonds hedged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds hedged,0.0225,0.0229,0.03,0.0175,-0.27,0.07,0.71,0.75,0.43,0.72,0.5,0.72,0.5,0.54,-0.14,-0.36,0.97,0.51,1,World ex-U.S. Government Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,World ex-U.S. Government Bonds,0.0225,0.0256,0.08,0.02,0.02,0.11,0.56,0.37,0.61,0.62,0.62,0.5,0.55,0.5,0.24,-0.07,0.48,0.99,0.42,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0525,0.057,0.0975,0.055,0,-0.02,0.22,0.16,0.58,0.6,0.46,0.5,0.76,0.68,0.72,0.4,0.28,0.55,0.29,0.57,1,Emerging Markets Local Currency Debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Currency Debt,0.0625,0.0694,0.1225,0.065,0.12,0.12,0.15,0.02,0.46,0.41,0.41,0.31,0.56,0.48,0.61,0.3,0.14,0.59,0.13,0.63,0.82,1,Emerging Markets Corporate Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Corporate Bonds,0.0525,0.0557,0.0825,0.055,0.05,-0.06,0.1,0.02,0.5,0.51,0.45,0.4,0.78,0.67,0.75,0.54,0.13,0.43,0.14,0.46,0.89,0.73,1,U.S. Muni 1-15 Yr Blend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Muni 1-15 Yr Blend,0.025,0.0255,0.0325,0.025,-0.06,0.03,0.46,0.47,0.52,0.66,0.45,0.57,0.58,0.53,0.26,0.1,0.52,0.43,0.49,0.38,0.51,0.27,0.39,1,U.S. Muni High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Muni High Yield,0.045,0.0473,0.07,0.0425,0.21,-0.12,0,0.06,0.31,0.3,0.08,0.27,0.41,0.34,0.43,0.54,0.11,0.1,0.13,0.11,0.43,0.23,0.39,0.59,1,U.S. Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap,0.055,0.0641,0.14,0.0625,0.05,-0.06,-0.31,-0.35,0.06,0,-0.04,-0.03,0.27,0.23,0.69,0.55,-0.24,0.14,-0.18,0.21,0.52,0.59,0.55,-0.01,0.2,1,U.S. Mid Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Mid Cap,0.0575,0.0693,0.16,0.0675,0.07,-0.08,-0.34,-0.35,0.07,-0.01,-0.05,-0.04,0.29,0.24,0.74,0.59,-0.26,0.1,-0.2,0.17,0.52,0.58,0.56,0.01,0.21,0.96,1,U.S. Small Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Small Cap,0.0575,0.0735,0.1875,0.07,0.04,-0.08,-0.37,-0.38,-0.02,-0.1,-0.12,-0.11,0.18,0.15,0.65,0.51,-0.29,0.03,-0.23,0.1,0.42,0.51,0.46,-0.08,0.09,0.9,0.95,1,U.S. Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap Value,0.0575,0.0675,0.1475,0.0625,0.04,-0.07,-0.32,-0.35,0.02,-0.02,-0.05,-0.04,0.26,0.22,0.68,0.53,-0.23,0.13,-0.17,0.2,0.5,0.59,0.54,-0.03,0.17,0.98,0.95,0.91,1,U.S. Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,U.S. Large Cap Growth,0.0525,0.0619,0.1425,0.0625,0.07,-0.06,-0.32,-0.36,0.09,0,-0.04,-0.04,0.28,0.22,0.71,0.58,-0.26,0.12,-0.2,0.2,0.52,0.57,0.55,0.02,0.22,0.98,0.96,0.89,0.92,1,Euro area Large Cap,,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Euro area Large Cap,0.0675,0.0891,0.22,0.0725,0.04,0.03,-0.21,-0.3,0.14,0.09,0.12,0.02,0.36,0.29,0.69,0.5,-0.19,0.32,-0.15,0.39,0.61,0.7,0.61,0.05,0.18,0.85,0.83,0.74,0.83,0.85,1,Japanese Equity,,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Japanese Equity,0.0625,0.0725,0.1475,0.0575,0.02,-0.09,-0.25,-0.21,0.12,0.08,0.05,0.09,0.38,0.34,0.6,0.46,-0.18,0.17,-0.14,0.23,0.49,0.57,0.55,0.01,0.15,0.68,0.67,0.6,0.66,0.68,0.7,1,Hong Kong Equity,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Hong Kong Equity,0.065,0.0839,0.205,0.075,-0.01,0.08,-0.18,-0.24,0.17,0.14,0.15,0.1,0.44,0.38,0.64,0.5,-0.15,0.23,-0.12,0.29,0.61,0.68,0.65,0.05,0.22,0.68,0.66,0.58,0.64,0.7,0.73,0.62,1,UK Large Cap,,,,,,,,,,,,,,,,,,,,,,,
Equities,UK Large Cap,0.0625,0.0761,0.1725,0.075,0.09,-0.01,-0.3,-0.36,0.12,0.05,0.05,0,0.38,0.31,0.73,0.63,-0.26,0.25,-0.2,0.33,0.6,0.66,0.64,0.04,0.29,0.86,0.82,0.72,0.83,0.86,0.9,0.7,0.78,1,EAFE Equity hedged,,,,,,,,,,,,,,,,,,,,,,
Equities,EAFE Equity hedged,0.0625,0.0712,0.1375,0.065,0,-0.04,-0.4,-0.35,-0.03,-0.03,-0.08,-0.02,0.31,0.27,0.69,0.61,-0.26,-0.03,-0.18,0.03,0.52,0.54,0.57,-0.01,0.24,0.88,0.86,0.78,0.86,0.87,0.88,0.79,0.73,0.87,1,EAFE Equity,,,,,,,,,,,,,,,,,,,,,
Equities,EAFE Equity,0.0625,0.0761,0.1725,0.0675,0.05,0,-0.24,-0.3,0.16,0.1,0.11,0.06,0.42,0.35,0.74,0.56,-0.2,0.31,-0.16,0.39,0.65,0.74,0.67,0.05,0.22,0.88,0.86,0.76,0.85,0.88,0.97,0.81,0.8,0.95,0.91,1,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,
Equities,Emerging Markets Equity,0.08,0.1004,0.215,0.0925,0.08,0.08,-0.19,-0.26,0.25,0.14,0.18,0.08,0.44,0.36,0.73,0.55,-0.17,0.32,-0.14,0.39,0.68,0.81,0.69,0.06,0.27,0.76,0.77,0.68,0.73,0.78,0.82,0.66,0.89,0.82,0.76,0.87,1,AC Asia ex-Japan Equity,,,,,,,,,,,,,,,,,,,
Equities,AC Asia ex-Japan Equity,0.0825,0.102,0.21,0.0925,0.01,0.06,-0.18,-0.22,0.24,0.16,0.18,0.11,0.46,0.39,0.72,0.53,-0.13,0.3,-0.1,0.36,0.66,0.76,0.68,0.08,0.26,0.75,0.75,0.66,0.71,0.77,0.79,0.65,0.92,0.79,0.75,0.84,0.98,1,AC World Equity,,,,,,,,,,,,,,,,,,
Equities,AC World Equity,0.06,0.071,0.155,0.0675,0.06,-0.02,-0.28,-0.34,0.14,0.06,0.06,0.02,0.38,0.31,0.76,0.59,-0.23,0.25,-0.18,0.33,0.63,0.72,0.66,0.02,0.23,0.95,0.93,0.85,0.93,0.95,0.94,0.77,0.8,0.94,0.91,0.97,0.89,0.87,1,Global Convertible Bond hedged,,,,,,,,,,,,,,,,,
Equities,Global Convertible hedged,0.05,0.0545,0.0975,,0.03,-0.04,-0.33,-0.34,0.14,0.09,0.07,0.03,0.45,0.36,0.82,0.67,-0.23,0.12,-0.16,0.19,0.64,0.62,0.71,0.09,0.31,0.86,0.88,0.78,0.83,0.88,0.86,0.73,0.79,0.87,0.9,0.9,0.85,0.84,0.92,1,Global Credit Sensitive Convertible hedged,,,,,,,,,,,,,,,,
Equities,Global Credit Sensitive Convertible hedged,0.0425,0.0444,0.0625,,0.14,-0.07,-0.12,-0.19,-0.01,-0.01,-0.03,0.01,0.19,0.18,0.28,0.33,-0.1,0.08,-0.06,0.12,0.19,0.23,0.28,-0.01,0.22,0.37,0.34,0.29,0.37,0.35,0.38,0.31,0.35,0.44,0.41,0.41,0.31,0.3,0.4,0.39,1,Private Equity,,,,,,,,,,,,,,,
Alts,Private Equity,0.0725,0.0921,0.21,0.08,0.06,-0.03,-0.25,-0.3,0.1,0.04,0.03,0,0.3,0.25,0.65,0.51,-0.2,0.19,-0.16,0.25,0.51,0.57,0.53,0.03,0.19,0.82,0.82,0.76,0.8,0.81,0.8,0.62,0.63,0.79,0.78,0.82,0.72,0.69,0.84,0.78,0.33,1,U.S. Direct Real Estate,,,,,,,,,,,,,,
Alts,U.S. Direct Real Estate,0.0525,0.0579,0.1075,0.055,-0.01,-0.02,-0.04,-0.05,0.04,0.05,0,0.04,0.11,0.1,0.23,0.14,0,0.08,0.01,0.1,0.19,0.22,0.15,0.05,0.07,0.3,0.31,0.31,0.31,0.29,0.26,0.2,0.18,0.23,0.25,0.26,0.21,0.21,0.28,0.24,0.07,0.25,1,U.S. Value Added Real Estate,,,,,,,,,,,,,
Alts,U.S. Value Added Real Estate,0.065,0.0737,0.1375,0.07,-0.01,-0.03,-0.05,-0.06,0.04,0.05,0,0.03,0.11,0.1,0.25,0.15,-0.01,0.09,0.01,0.1,0.2,0.23,0.16,0.05,0.08,0.33,0.33,0.33,0.34,0.31,0.27,0.21,0.19,0.25,0.27,0.28,0.23,0.22,0.3,0.26,0.07,0.27,0.95,1,European Direct Real Estate,,,,,,,,,,,,
Alts,European Direct Real Estate,0.0575,0.0672,0.145,0.0625,-0.03,-0.01,-0.21,-0.19,-0.08,-0.08,-0.1,-0.08,0.05,0.03,0.28,0.25,-0.16,-0.08,-0.13,-0.06,0.17,0.18,0.17,-0.03,0.07,0.4,0.39,0.38,0.39,0.39,0.4,0.3,0.27,0.36,0.45,0.39,0.3,0.29,0.39,0.38,0.15,0.35,0.3,0.3,1,Asia Core Real Estate,,,,,,,,,,,
Alts,Asia Core Real Estate,0.055,0.0607,0.11,0.055,-0.01,0.05,-0.14,-0.15,-0.02,-0.06,-0.05,-0.06,0.04,0.03,0.23,0.16,-0.12,0.05,-0.1,0.08,0.14,0.25,0.1,-0.07,0.04,0.33,0.33,0.32,0.32,0.34,0.32,0.25,0.36,0.3,0.32,0.33,0.38,0.4,0.36,0.31,0.09,0.29,0.4,0.39,0.21,1,U.S. REITs,,,,,,,,,,
Alts,U.S. REITs,0.0625,0.0742,0.16,0.06,-0.05,-0.07,-0.02,0,0.21,0.27,0.09,0.25,0.44,0.42,0.62,0.36,0.1,0.29,0.13,0.32,0.56,0.59,0.47,0.21,0.24,0.74,0.76,0.74,0.76,0.7,0.64,0.52,0.48,0.59,0.63,0.66,0.56,0.56,0.71,0.62,0.18,0.63,0.4,0.43,0.32,0.29,1,Global Infrastructure,,,,,,,,,
Alts,Global Infrastructure,0.0625,0.0689,0.1175,0.0625,0.1,-0.01,-0.1,-0.11,0.03,0,-0.02,-0.01,0.08,0.06,0.22,0.19,-0.08,0.05,-0.06,0.07,0.16,0.19,0.16,0,0.08,0.3,0.3,0.28,0.3,0.29,0.25,0.2,0.19,0.26,0.26,0.26,0.23,0.22,0.29,0.25,0.11,0.25,0.3,0.29,0.16,0.17,0.25,1,Infrastructure Debt,,,,,,,,
Alts,Infrastructure Debt,0.0425,0.0441,0.0575,0.0425,-0.05,-0.04,0.44,0.51,0.67,0.81,0.57,0.78,0.92,0.88,0.47,0.32,0.54,0.49,0.51,0.45,0.65,0.39,0.67,0.62,0.45,0.08,0.11,0,0.06,0.11,0.16,0.2,0.27,0.21,0.13,0.21,0.26,0.28,0.17,0.29,0.11,0.13,0.04,0.03,-0.04,-0.05,0.25,0.02,1,Diversified Hedge Funds,,,,,,,
Alts,Diversified Hedge Funds,0.0425,0.0452,0.075,0.035,0.19,0.08,-0.41,-0.4,0.06,-0.1,-0.07,-0.1,0.22,0.16,0.6,0.65,-0.35,-0.04,-0.29,0.02,0.36,0.39,0.44,-0.06,0.37,0.66,0.69,0.58,0.61,0.71,0.65,0.59,0.61,0.73,0.74,0.71,0.68,0.66,0.73,0.79,0.43,0.61,0.13,0.14,0.3,0.27,0.34,0.2,0.15,1,Event Driven Hedge Funds,,,,,,
Alts,Event Driven Hedge Funds,0.0475,0.0513,0.09,0.0475,0.23,-0.02,-0.46,-0.5,0.05,-0.11,-0.06,-0.15,0.27,0.19,0.77,0.76,-0.41,0.02,-0.35,0.11,0.47,0.52,0.58,-0.07,0.36,0.8,0.83,0.76,0.78,0.81,0.76,0.66,0.69,0.83,0.81,0.82,0.78,0.75,0.85,0.87,0.51,0.72,0.2,0.22,0.34,0.29,0.51,0.25,0.15,0.88,1,Long Bias Hedge Funds,,,,,
Alts,Long Bias Hedge Funds,0.0475,0.0527,0.105,0.045,0.14,-0.01,-0.41,-0.47,0.08,-0.08,-0.01,-0.12,0.3,0.21,0.75,0.67,-0.38,0.1,-0.32,0.19,0.53,0.62,0.61,-0.07,0.28,0.86,0.89,0.81,0.83,0.89,0.83,0.72,0.8,0.87,0.85,0.89,0.89,0.86,0.93,0.92,0.42,0.78,0.22,0.24,0.35,0.35,0.55,0.26,0.13,0.87,0.94,1,Relative Value Hedge Funds,,,,
Alts,Relative Value Hedge Funds,0.045,0.0473,0.07,0.0425,0.26,-0.02,-0.4,-0.42,0.16,0.01,0.03,-0.04,0.4,0.3,0.84,0.85,-0.34,0.01,-0.28,0.09,0.55,0.54,0.64,0.07,0.49,0.68,0.72,0.62,0.66,0.7,0.68,0.63,0.68,0.77,0.75,0.75,0.75,0.73,0.76,0.84,0.44,0.64,0.17,0.18,0.29,0.25,0.45,0.22,0.33,0.85,0.92,0.86,1,Macro Hedge Funds,,,
Alts,Macro Hedge Funds,0.0375,0.0402,0.075,0.04,-0.1,0.18,0.12,0.1,0.26,0.2,0.27,0.19,0.27,0.24,0.17,0.06,0.18,0.31,0.2,0.31,0.23,0.31,0.2,0.11,0.15,0.21,0.21,0.12,0.17,0.25,0.28,0.23,0.25,0.31,0.23,0.31,0.35,0.32,0.3,0.31,0.14,0.23,0.04,0.04,0.08,0.13,0.14,0.05,0.22,0.54,0.3,0.37,0.29,1,Direct Lending,,
Alts,Direct Lending,0.07,0.0746,0.1,0.0675,-0.04,-0.07,0.29,0.33,0.61,0.74,0.53,0.7,0.97,0.91,0.68,0.47,0.4,0.49,0.39,0.48,0.77,0.57,0.81,0.56,0.46,0.32,0.35,0.24,0.3,0.34,0.39,0.41,0.48,0.43,0.36,0.45,0.49,0.51,0.42,0.52,0.21,0.34,0.12,0.12,0.07,0.06,0.45,0.1,0.93,0.3,0.37,0.38,0.52,0.24,1,Commodities,
Alts,Commodities,0.0375,0.0506,0.1675,0.0375,0.26,0.08,-0.11,-0.27,0.27,0.05,0.18,-0.02,0.24,0.17,0.46,0.37,-0.24,0.35,-0.25,0.41,0.39,0.54,0.43,-0.09,0.12,0.44,0.46,0.38,0.44,0.45,0.48,0.34,0.49,0.6,0.34,0.54,0.61,0.52,0.55,0.47,0.28,0.44,0.1,0.1,0.09,0.18,0.26,0.15,0.13,0.52,0.57,0.61,0.55,0.41,0.27,1,Gold
Alts,Gold,0.04,0.0558,0.185,0.04,0.04,0.08,0.37,0.24,0.5,0.42,0.41,0.32,0.37,0.3,0.11,-0.08,0.25,0.53,0.19,0.52,0.35,0.4,0.33,0.25,0.11,-0.02,0.01,-0.04,-0.03,0.02,0.07,-0.02,0.18,0.11,-0.12,0.09,0.23,0.19,0.08,0.1,0.01,0.04,0,0,-0.11,0,0.06,0,0.36,0.1,0.06,0.14,0.09,0.41,0.33,0.46,1