,,Compound Return 2018 (%),Arithmetic Return 2018 (%),Annualized Volatility (%),ChinaInflation,,,,,,,,,,,,,,,,,,,,,,
Fixed Income,China Inflation,0.0275,0.0275,0.01,1,China Cash ,,,,,,,,,,,,,,,,,,,,,
Fixed Income,China Cash ,0.0325,0.0326,0.0125,-0.31,1,China Government Bond,,,,,,,,,,,,,,,,,,,,
Fixed Income,China Government Bond,0.035,0.0354,0.03,-0.26,0.11,1,China Corporate Bond ,,,,,,,,,,,,,,,,,,,
Fixed Income,China Corporate Bond ,0.0475,0.0478,0.025,-0.38,0.22,0.75,1,US Aggregate Bonds,,,,,,,,,,,,,,,,,,
Fixed Income,U.S. Aggregate Bonds,0.0225,0.0235,0.045,-0.18,0.18,0.22,0.21,1,Global Aggregate Bonds,,,,,,,,,,,,,,,,,
Fixed Income,Global Aggregate Bonds,0.0175,0.0193,0.06,-0.05,0.23,0.13,0.11,0.69,1,US Inv Grade Corporate Bonds,,,,,,,,,,,,,,,,
Fixed Income,U.S. Inv Grade Corporate Bonds,0.025,0.0271,0.065,-0.19,0.16,0.12,0.08,0.84,0.69,1,US High Yield Bonds,,,,,,,,,,,,,,,
Fixed Income,U.S. High Yield Bonds,0.0425,0.0463,0.09,-0.07,0.06,-0.06,-0.02,0.24,0.36,0.59,1,Emerging Markets Sovereign Debt,,,,,,,,,,,,,,
Fixed Income,Emerging Markets Sovereign Debt,0.0425,0.047,0.0975,-0.15,0.16,0.11,0.16,0.58,0.68,0.76,0.73,1,Emerging Markets Local Currency Debt,,,,,,,,,,,,,
Fixed Income,Emerging Markets Local Currency Debt,0.0525,0.0592,0.12,0,0.14,0.03,0.07,0.26,0.65,0.48,0.59,0.78,1,China Onshore Listed Equity,,,,,,,,,,,,
Equities,China Onshore Listed Equity,0.0725,0.1208,0.34,0.12,0.04,-0.16,-0.22,-0.01,0.1,0.14,0.3,0.23,0.27,1,China Offshore Listed & Hong Kong Equity,,,,,,,,,,,
Equities,China Offshore Listed & Hong Kong Equity,0.065,0.09,0.2375,0.1,0.09,-0.13,-0.15,0.06,0.33,0.36,0.59,0.57,0.68,0.63,1,Hong Kong Equity,,,,,,,,,,
Equities,Hong Kong Equity,0.055,0.074,0.205,0.04,0.09,-0.11,-0.1,0.06,0.33,0.4,0.66,0.61,0.69,0.52,0.93,1,China Offshore Listed Equity,,,,,,,,,
Equities,China Offshore Listed Equity,0.0675,0.0981,0.265,0.13,0.07,-0.14,-0.17,0.06,0.31,0.33,0.53,0.52,0.64,0.64,0.99,0.86,1,US Large Cap,,,,,,,,
Equities,U.S. Large Cap,0.045,0.0545,0.1425,0.04,-0.01,-0.03,-0.08,0,0.27,0.26,0.69,0.52,0.6,0.35,0.64,0.67,0.59,1,European Large Cap,,,,,,,
Equities,European Large Cap,0.055,0.0715,0.19,0.05,0.02,-0.09,-0.1,0.02,0.42,0.34,0.71,0.6,0.71,0.37,0.74,0.77,0.7,0.88,1,Japanese Equity,,,,,,
Equities,Japanese Equity,0.0525,0.0626,0.1475,0.08,-0.03,-0.07,-0.12,0.05,0.26,0.34,0.58,0.46,0.55,0.28,0.56,0.6,0.53,0.68,0.71,1,AC Asia ex-Japan Equity,,,,,
Equities,AC Asia ex-Japan Equity,0.0725,0.0926,0.2125,0.1,0.1,-0.11,-0.11,0.07,0.4,0.4,0.7,0.63,0.76,0.54,0.93,0.91,0.9,0.74,0.83,0.63,1,Emerging Markets Equity,,,,
Equities,Emerging Markets Equity,0.07,0.0911,0.2175,0.13,0.08,-0.11,-0.1,0.04,0.42,0.36,0.7,0.64,0.81,0.49,0.9,0.88,0.87,0.76,0.85,0.63,0.98,1,AC World Equity,,,
Equities,AC World Equity,0.05,0.0615,0.1575,0.07,0.02,-0.07,-0.1,0.01,0.38,0.34,0.74,0.61,0.72,0.4,0.77,0.8,0.72,0.95,0.97,0.76,0.86,0.89,1,Diversified Hedge Funds,,
Alts,Diversified Hedge Funds,0.0325,0.0352,0.075,0.1,0.04,-0.18,-0.1,0.13,0.18,0.34,0.61,0.41,0.34,0.39,0.52,0.54,0.5,0.62,0.62,0.55,0.58,0.6,0.66,1,Commodities,
Alts,Commodities,0.0275,0.0407,0.1675,0.15,-0.01,-0.16,-0.1,0,0.43,0.21,0.46,0.38,0.55,0.19,0.49,0.5,0.46,0.44,0.55,0.34,0.53,0.62,0.55,0.47,1,Gold
Alts,Gold,0.03,0.0468,0.19,-0.02,0.21,-0.04,-0.04,0.36,0.52,0.34,0.11,0.33,0.38,0.13,0.19,0.2,0.18,-0.02,0.07,-0.04,0.18,0.22,0.07,0.12,0.47,1